*.10minutepleroma.com
*.4chan.icu
*.fediversesearch.com
*.gab.best
.cf
076.moe
076.ne.jp
0chan.ru
0n.ee
0w0.is
0x68756773.moe
0xspace.social
1.7z.pm
101010.pl
10minutepleroma.com
1210.nl
129.159.139.0
12vpx.com
13bells.com
1611.social
168.119.6.104
1745.info
1984.cz
1being.org
2.distsn.org
23.95.115.204
2ar.xyz
2hu.club
2k36.org
2ndamendment.social
2snc.eu
3q3.de
3zi.ru
420blaze.it
434.earth
448c.net
4aem.com
4chan.icu
4qq.org
503junk.house
5dollah.click
5evo.fan
62x54r.ru
7td.org
80percent.social
829.hu
8777.ch
a.nti.social
a.sc
a3size.com
aaathats3as.com
aaoth.xyz
abdl.link
abraham.su
absturztau.be
accela.online
activism.openworlds.info
activitypub.actor
activitypub.agates.io
activitypub-proxy.cf
activitypub-troll.cf
acu.lt
adachi.party
addy.gg
adhd.stream
admin.ch
adrienlacombe.me
adtension.com
aether.us
aethy.com
afd.best
affiliates.social
afterlife.masto.host
agates.io
agdersam.no
aguilera.soy
agyilag.zokni.xyz
ai.wiki
ai8w.ddns.net
aillust.fun
aipub.social
airen-no-jikken.icu
airis.work
airmail.cc
ajin.la
ak.kawen.space
ak.kyaruc.moe
ak.yass.ee
akko.disqordia.space
akko.hollow.capital
akko.saturno.black
akko.wtf
akkos.fritu.re
akm.longyap.name.my
albin.social
alderit.com
aldragon.net
alfter.us
alive.bar
allegedly.illegitimate.technology
allistodon.xyz
alongtheray.social
alpaca.gold
alphasoft.org
alt.suicide.holiday
alteregocreations.com
alterracloud.com
amala.schwartzwelt.xyz
amazonaws.com
amiantos.net
ams3-03.smarterliving.nl
anancus.fr
anarres.family
ancreport.com
ancreport.xyz
anemoneya.me
angry.im
angrytoday.com
animalliberation.social
anime.website
animeisgay.com
animesexual.community
anirloli.dev
anitbook.site
anitwitter.com
anitwitter.moe
annihilation.social
anon-kenkai.com
anontier.nl
anthro.cc
anticom.world
anti-degeneracy.club
antiserious.us
antivaxxer.icu
aoq.me
ap.***.st
ap.maladaptive.art
ap.sevvie.ltd
ap.uwu.st
apathy.tv
api.visualstudio.com
apontaeclica.com
app.github.dev
app.wafrn.net
applied-langua.ge
ar.aire.ml
arachnid.town
arasaka.vip
archivefedifor.fun
argentum.social
aria.company
aria.dog
arielbecker.com
arinbasu.online
ariona.fr
armstube.com
aroace.space
artalley.masto.host
artalley.social
arthaus.social
artisan.chat
arumoon.ru
as59715.net
asbestos.cafe
asdgsadga.social
asimon.org
asphodel.rip
aspiechattr.me
aspirant.de
assortedflotsam.com
asteroidm.space
ating.press
atlas.fedi.live
atrilahiji.dev
attractive.space
aus.social
autism.zone
autizmo.xyz
awoo.fai.st
awoo.fyi
awootism.club
awscommunity.social
awwter.online
aylett.co.uk
ayotocorp.com
aytolis.mayvaneday.art
azazel.fun
azumanga.gay
b.9chan.lol
b.booots.tech
b10m.net
babay.icu
babka.social
babyfurs.social
babymetal.party
badat.dev
badly.co
bae.st
bahnhof.cz
bajax.us
banepo.st
banned.cafe
bar***.*et
bar.arumoon.ru
baraag.net
baraposting.online
based.directory
basedcount.com
bassam.social
battlepenguin.video
bawue.social
bbad.com
bbs.kawa-kun.com
bbs.keinpfusch.net
beagle.casa
bearbirdsite.sicem.social
bearvideo.win
bearygoosey.com
beausejour.social
beaware.live
beckmeyer.us
beef*****.*lub
beef.moe
beefyboys.club
beefyboys.win
beehub.org
beep.africa
beepboop.ga
beetoons.tv
bennypowers.dev
berserker.town
berzs.xyz
best****.fun
best-friends.chat
bestgore.fun
beta.birdsite.live
beta.mstdn.cf
bgzashtita.es
bibly.com
bida.im
biendeo.com
bien-etre.social
bigchungus69.club
bigguys.club
bigrelay.social
bigzu.cc
bikeshed.party
binarycounter.net
binarydad.com
biocomm.net
birb.byte.wtf
birb.elfenban.de
birb.redra1n.net
birb.space
birb.stream
birbber.hotfemboy.pics
bird.band
bird.chauvet.pro
bird.docmeth02.host
bird.evilcyberhacker.net
bird.froth.zone
bird.geiger.ee
bird.gensokyo.info
bird.granford.uk
bird.hock.one
bird.im-in.space
bird.istheguy.com
bird.karatek.net
bird.kuendig.io
bird.lummerland.ddnss.de
bird.makeup
bird.makeup.hwarf.com
bird.neolyum.de
bird.nzbr.de
bird.r669.live
bird.seafoam.space
bird.shitposted.today
bird.tracto.pl
bird.waffles.fun
bird.xtra.nu
bird.zerojay.com
bird.zvo.io
birdbots.leptonics.com
birdbridge.autonomy.earth
birdity.club
birdlive.grupotd.nat.cu
birdmakeup.opiumpost.org
birds.garden
birds.im-in.space
birdsite.am-institute.swiss
birdsite.archybold.com
birdsite.axeleroy.com
birdsite.b93.dece.space
birdsite.blahaj.social
birdsite.blazelight.dev
birdsite.cbruegg.com
birdsite.centennial.root.sx
birdsite.cloutier.co
birdsite.csachweh.de
birdsite.darkesttimeline.social
birdsite.datboi.network
birdsite.davinkevin.fr
birdsite.dfu.co
birdsite.falkensweb.com
birdsite.felixmueller.cloud
birdsite.frog.fashion
birdsite.gabeappleton.me
birdsite.gnyo.org
birdsite.gred.al
birdsite.gxvwb.dev
birdsite.hexix.de
birdsite.hwarf.com
birdsite.ingwie.me
birdsite.intra.kaijauch.de
birdsite.james.moody.name
birdsite.jemverse.xyz
birdsite.jupiterslanding.social
birdsite.jvpiter.net
birdsite.kaijauch.de
birdsite.k-fortytwo.de
birdsite.kohl.dev
birdsite.koyu.space
birdsite.lakedrops.com
birdsite.link
birdsite.lipsia.casa
birdsite.live
birdsite.lluni.de
birdsite.marschik.me
birdsite.mastodon.land
birdsite.mastodon.me.uk
birdsite.miisu.net
birdsite.monster
birdsite.nickurak.ca
birdsite.noitl.space
birdsite.nytpu.com
birdsite.oliviaappleton.com
birdsite.otmns.net
birdsite.outadoc.fr
birdsite.personally.tech
birdsite.platypush.tech
birdsite.rap.social
birdsite.retiolus.net
birdsite.schafscheiss.com
birdsite.seejy.ninja
birdsite.skye.cx
birdsite.slashdev.space
birdsite.spectreos.de
birdsite.stop.pe
birdsite.tableflip.zone
birdsite.tcjc.uk
birdsite.tedandrachel.com
birdsite.thorlaksson.com
birdsite.toot.si
birdsite.vish.link
birdsite.vrparty.social
birdsite.weiranzhang.com
birdsite.wilde.cloud
birdsitelive.angrydome.au
birdsitelive.baguette-it.social
birdsitelive.bubbletea.dev
birdsitelive.chatty.monster
birdsitelive.codingneko.com
birdsitelive.falschgold.net
birdsitelive.ffvo.dev
birdsitelive.janngobble.synology.me
birdsitelive.kevinyank.com
birdsitelive.laski.app
birdsitelive.leonardwong.tech
birdsitelive.loca.lt
birdsitelive.mastodon.vm.statshelix.com
birdsitelive.moistgarbage.info
birdsitelive.nullreference.io
birdsitelive.obey.social
birdsitelive.opiumpost.org
birdsitelive.peanutlasko.com
birdsitelive.samedwards.ca
birdsitelive.sboulema.nl
birdsitelive.self-hosted.site
birdsitelive.treffler.cloud
biribiri.dev
bitacadie.com
bitcoin.ninja
bitcoinadon.social
bitcoinersagainst.boats
bitcoinhackers.org
bitcoin-info.nl
bitcoinlizard.net
bitcoinplebs.net
bitcointv.com
bittube.social
bittube.video
bka.li
bkcastle.net
blab.gg
blackoutstout.space
blackstar.cafe
blacksun.social
blazelights.dev
blazingopen.space
blitter.epgn.ch
bloated.mentality.rip
blob.cat
blobturtle.club
blockedur.mom
blockriot.com
blogold.xyz
blovice.bahnhof.cz
blue.worldkey.io
blurts.net
bmu.beerinacan.com
boating.social
bocc.de
body.social
bodybuilding.im
bofa.lol
bofh.social
boingo00.wtf
boks.moe
boles.xyz
bonkumiru.hacktivis.me
bonzoesc.net
boobytooth.social
bookwor.ms
boop.link
boostwithmeta.com
boostwithmeta.net
borg.social
borj.org
boseburo.ddns.net
bosio.info
bostonsocial.online
bot.gallion.sh
botsin.space
bound4the.icu
boykissers.club
boymoder.biz
boyter.org
bozgor.org
brainport.social
brainsoap.net
brandonage.xyz
brands.town
brapbarn.farm
brasileiros.social
breastmilk.club
brettiverse.com
brid.gy
bridge.birb.space
bridge.booots.tech
bridge.yopp.me
bridgebot.b-wells.us
bridgend.online
brighteon.com
brighteon.social
brockha.us
brodi.me
bronyfurry.com
brotka.st
bruh.homd.xyz
bruh.social
brzozow.xyz
bsd.moe
bsite.spiderden.net
bsky.app
bsky.social
bsl.18m250.org
bsl.adamstas.com
